PERSON,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
1160131,0,0,1,1,0,0,1,0,1,0,1,0,1
1160132,1,0,1,1,1,0,0,1,1,0,0,0,0
1160133,1,1,1,1,1,0,1,1,1,1,0,0,1
1160134,1,1,1,0,1,1,0,1,1,0,0,0,0
1160135,1,0,1,1,1,0,1,1,1,1,1,1,0
1160136,1,0,0,1,0,0,0,0,1,0,0,1,1
1160137,0,0,0,1,1,0,0,0,1,1,1,1,1
1160138,1,0,1,1,1,0,0,0,1,1,1,0,1
1160139,1,1,1,0,0,0,1,0,1,0,1,1,1
1160140,1,1,1,1,1,0,1,0,1,1,1,0,1
1160141,1,1,0,0,1,0,1,0,1,0,0,0,0
1160142,1,1,1,1,1,0,1,0,1,1,1,0,1
1160143,1,0,0,0,1,0,1,0,0,0,0,0,0
1160144,1,0,1,0,0,0,1,0,1,1,0,0,0
1160145,1,1,1,1,1,1,1,0,1,1,1,1,0
1160146,0,0,0,0,0,0,0,0,1,1,0,0,1
1160147,1,0,0,1,1,0,0,1,0,0,0,0,0
1160148,1,1,0,1,0,1,1,1,1,1,1,0,1
1160149,1,1,1,1,1,0,1,1,1,0,1,1,0
1160150,0,0,1,1,1,0,0,0,1,1,0,0,1
1160151,1,0,1,1,0,0,1,0,1,0,0,1,1
1160152,0,0,1,1,1,0,1,1,1,0,1,1,0
1160153,1,1,1,1,1,0,0,1,0,1,0,1,0
1160154,1,1,1,1,1,0,1,0,1,0,1,1,1
1160155,1,1,1,1,1,1,0,1,1,1,1,1,1
1160156,1,1,1,1,0,0,0,1,1,1,1,0,0
1160157,1,0,0,0,1,0,1,0,1,0,0,1,0
1160158,0,0,1,1,1,1,1,0,0,1,1,0,1
1160159,1,1,0,1,0,1,0,0,1,0,0,1,0
1160160,0,0,0,0,1,0,1,0,1,0,0,1,0
1160161,1,1,1,1,1,0,1,0,1,1,0,0,0
1160162,0,0,0,1,0,0,1,0,0,1,1,0,0
1160163,1,0,1,1,1,0,1,0,1,1,0,0,0
1160164,1,1,1,0,1,0,1,1,1,1,1,0,1
1160165,1,1,1,1,1,1,1,0,1,0,1,1,0
1160166,1,0,0,0,0,1,1,0,0,1,0,0,0
1160167,1,0,1,1,1,0,0,0,1,0,1,0,1
1160168,1,1,1,1,1,1,1,0,1,0,1,0,1
1160169,1,1,1,1,1,0,0,0,1,1,0,0,1
1160170,1,0,1,1,1,0,1,0,1,1,0,0,1
1160171,1,1,1,1,1,0,0,1,1,1,0,0,1
1160172,0,0,1,1,1,1,1,1,1,1,0,0,0
1160173,1,0,0,0,1,0,1,0,1,0,1,0,0
1160174,0,1,0,0,0,0,0,0,1,0,0,0,0
1160175,1,0,1,1,1,1,0,0,1,1,0,0,1
1160176,1,1,1,0,1,0,1,0,1,0,1,0,1
1160177,1,0,1,1,1,0,1,1,1,1,1,1,0
1160178,1,1,0,1,0,0,1,1,0,1,0,0,1
1160179,1,0,0,0,1,0,0,1,0,0,0,1,1
1160180,0,1,1,1,0,0,0,0,1,1,0,0,1
1160181,1,1,0,1,0,1,0,0,1,1,0,0,0
